title,genre,year,description
Spider-Man,Action,2002,A high school student is bitten by a genetically modified spider and becomes a web-slinging superhero.
Spider-Man 2,Action,2004,Peter Parker struggles to balance his personal life with his duties as Spider-Man while facing Doctor Octopus.
Spider-Man 3,Action,2007,Peter Parker faces new threats as a symbiote enhances his powers and darkens his personality.
The Amazing Spider-Man,Action,2012,Peter Parker uncovers a mystery involving his parents while facing the Lizard.
The Amazing Spider-Man 2,Action,2014,Spider-Man battles Electro while confronting secrets from his past.
Spider-Man: Homecoming,Action,2017,A teenage Peter Parker balances high school life with his new role as an Avenger.
Spider-Man: Far From Home,Action,2019,Peter Parker must step up as the new hero of New York while facing the illusionist Mysterio.
Spider-Man: No Way Home,Action,2021,"Peter Parker's identity is revealed, forcing him to deal with villains from other universes."
Spider-Man: Into the Spider-Verse,Animation,2018,Miles Morales becomes Spider-Man and teams up with other Spider-People from parallel universes.
Spider-Man: Across the Spider-Verse,Animation,2023,Miles Morales travels across the multiverse and confronts a new threat to all realities.
The Backrooms (Found Footage),Horror,2022,A found-footage style horror short about a man trapped in an endless maze of empty office rooms.
Batman Begins,Action,2005,Bruce Wayne trains to become Batman and returns to Gotham to fight corruption.
The Dark Knight,Action,2008,"Batman faces the Joker, a criminal mastermind who plunges Gotham into chaos."
The Dark Knight Rises,Action,2012,Batman returns to protect Gotham from the terrorist Bane.
Batman v Superman: Dawn of Justice,Action,2016,Batman and Superman are pitted against each other while a new threat emerges.
The Batman,Crime,2022,A young Batman investigates corruption in Gotham while pursuing the Riddler.
Joker,Drama,2019,A failed comedian descends into madness and becomes the criminal mastermind known as the Joker.
Man of Steel,Action,2013,Superman must learn to embrace his powers and protect Earth from a Kryptonian threat.
Wonder Woman,Action,2017,An Amazon princess leaves her island home to fight in the world of men and stop a great war.
Iron Man,Action,2008,Billionaire Tony Stark builds a powered suit of armor to escape captivity and become Iron Man.
Iron Man 2,Action,2010,Tony Stark faces new enemies while dealing with the toxic effects of his own arc reactor.
Iron Man 3,Action,2013,Tony Stark must fight to save those he loves from the terrorist Mandarin.
The Avengers,Action,2012,Earth's mightiest heroes must come together to stop Loki and his alien army.
Avengers: Age of Ultron,Action,2015,The Avengers face a powerful artificial intelligence bent on human extinction.
Avengers: Infinity War,Action,2018,The Avengers unite to stop Thanos from collecting all the Infinity Stones.
Avengers: Endgame,Action,2019,The remaining Avengers assemble to undo Thanos's actions and restore balance to the universe.
Captain America: The First Avenger,Action,2011,A frail man is transformed into a super-soldier to fight in World War II.
Captain America: The Winter Soldier,Action,2014,Captain America uncovers a conspiracy within S.H.I.E.L.D.
Thor,Fantasy,2011,A powerful but arrogant god is cast down to Earth to learn humility.
