title,year,genre,rating,description
The Shawshank Redemption,1994,Drama,9.3,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.
The Godfather,1972,Crime,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant youngest son.
The Dark Knight,2008,Action,9.0,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests.
Pulp Fiction,1994,Crime,8.9,The lives of four mobsters two hitmen a boxer and a pair of diner bandits intertwine in four tales of violence and redemption.
Forrest Gump,1994,Drama,8.8,The presidencies of Kennedy and Johnson unfold from the perspective of an Alabama man with an IQ of 75.
Inception,2010,Sci-Fi,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea.
The Matrix,1999,Sci-Fi,8.7,A computer programmer discovers that reality as he knows it is a simulation created by machines.
Goodfellas,1990,Crime,8.7,The story of Henry Hill and his life in the mob covering his relationship with his wife and his mob partners.
The Silence of the Lambs,1991,Thriller,8.6,A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer.
Saving Private Ryan,1998,War,8.6,Following the Normandy Landings American soldiers encounter trouble from all directions.
City of God,2002,Crime,8.6,In the slums of Rio de Janeiro two kids connection to the drug trade changes their imagined destiny.
Se7en,1995,Crime,8.6,Two detectives hunt a serial killer who uses the seven deadly sins as his motives.
The Usual Suspects,1995,Crime,8.5,A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat.
Léon The Professional,1994,Action,8.5,Mathilda a girl takes all the trouble but ISO Leon a professional assassin to her teacher and help her avenge her familys death.
